No,ID,name,address,same address as evac site,comments,eligible_people,latitude,longitude,remarks
82,E1312200016111,末広小学校,東京都葛飾区金町4-21-1,,,,35.766613,139.865234,
83,E1312200018111,高砂小学校,東京都葛飾区高砂3-30-1,,,,35.74684,139.870201,
84,E1312200019111,高砂中学校,東京都葛飾区高砂3-32-1,,,,35.74604,139.869422,
85,E1312200020111,住吉小学校,東京都葛飾区高砂8-14-1,,,,35.754594,139.867065,
86,E1312200021111,奥戸中学校,東京都葛飾区細田1-6-1,,,,35.737187,139.871375,
87,E1312200022111,細田小学校,東京都葛飾区細田3-20-1,,,,35.74149,139.868248,
88,E1312200023111,四ツ木中学校,東京都葛飾区四つ木4-22-1,,,,35.738929,139.83498,
89,E1312200024111,よつぎ小学校,東京都葛飾区四つ木4-8-1,,,,35.736855,139.833852,
90,E1312200025111,大道中学校,東京都葛飾区四つ木5-22-1,,,,35.744505,139.84288,
91,E1312200026111,北野小学校,東京都葛飾区柴又3-10-1,,,,35.759783,139.871924,
92,E1312200028111,桜道中学校,東京都葛飾区柴又4-3-1,,,,35.752732,139.873109,
93,E1312200027111,柴又小学校,東京都葛飾区柴又4-30-1,,,,35.753038,139.877276,
94,E1312200029111,東柴又小学校,東京都葛飾区柴又5-12-15,,,,35.752707,139.880472,
95,E1312200031111,西小菅小学校,東京都葛飾区小菅1-25-1,,,,35.756281,139.817776,
96,E1312200032111,綾瀬中学校,東京都葛飾区小菅2-12-1,,,,35.753444,139.824581,
97,E1312200033111,こすげ小学校,東京都葛飾区小菅3-8-1,,,,35.754445,139.824329,
98,E1312200035111,新宿小学校,東京都葛飾区新宿2-26-1,,,,35.762857,139.85811,
99,E1312200036111,新宿中学校,東京都葛飾区新宿3-20-10,,,,35.761239,139.863278,
100,E1312200037111,小松南小学校,東京都葛飾区新小岩2-25-1,,,,35.716889,139.863829,
101,E1312200038111,旧松南小学校,東京都葛飾区新小岩3-25-1,,,,35.713556,139.866085,
102,E1312200039111,小松中学校,東京都葛飾区新小岩4-30-1,,,,35.720487,139.864323,
103,E1312200040111,葛美中学校,東京都葛飾区水元2-17-1,,,,35.784772,139.858166,
104,E1312200041111,水元中学校,東京都葛飾区水元3-20-1,,,,35.78275,139.865344,
105,E1312200042111,水元小学校,東京都葛飾区水元4-21-1,,,,35.787996,139.863938,
106,E1312200044111,西亀有小学校,東京都葛飾区西亀有2-42-1,,,,35.761048,139.835031,
107,E1312200045111,一之台中学校,東京都葛飾区西亀有4-1-1,,,,35.76427,139.837976,
108,E1312200047111,松上小学校,東京都葛飾区西新小岩2-1-1,,,,35.717783,139.853155,
109,E1312200048111,新小岩中学校,東京都葛飾区西新小岩2-1-2,,,,35.717751,139.852207,
110,E1312200049111,上平井小学校,東京都葛飾区西新小岩4-22-1,,,,35.722819,139.85175,
111,E1312200050111,幸田小学校,東京都葛飾区西水元3-24-12,,,,35.788972,139.84959,
112,E1312200051111,葛飾小学校,東京都葛飾区青戸1-3-1,,,,35.742361,139.854875,
113,E1312200052111,中青戸小学校,東京都葛飾区青戸4-24-1,,,,35.750174,139.85178,
114,E1312200053111,青戸中学校,東京都葛飾区青戸5-10-1,,,,35.751319,139.853488,
115,E1312200054111,青戸小学校,東京都葛飾区青戸6-18-1,,,,35.751575,139.857179,
116,E1312200055111,亀青小学校,東京都葛飾区青戸8-17-1,,,,35.758894,139.852931,
117,E1312200057111,東金町小学校,東京都葛飾区東金町1-33-1,,,,35.7738,139.870668,
118,E1312200058111,原田小学校,東京都葛飾区東金町2-16-1,,,,35.773197,139.868254,
119,E1312200059111,半田小学校,東京都葛飾区東金町5-16-1,,,,35.777552,139.876585,
120,E1312200060111,東金町中学校,東京都葛飾区東金町5-3-1,,,,35.77808,139.873593,
121,E1312200062111,木根川小学校,東京都葛飾区東四つ木1-10-1,,,,35.727905,139.840449,
122,E1312200063111,中川中学校,東京都葛飾区東四つ木1-3-1,,,,35.725907,139.841228,
123,E1312200064111,渋江小学校,東京都葛飾区東四つ木2-13-1,,,,35.730519,139.842423,
124,E1312200066111,上平井中学校,東京都葛飾区東新小岩4-2-1,,,,35.724839,139.860489,
125,E1312200067111,二上小学校,東京都葛飾区東新小岩7-18-1,,,,35.724502,139.855275,
126,E1312200068111,東水元小学校,東京都葛飾区東水元5-38-1,,,,35.790846,139.867594,
127,E1312200069111,上千葉小学校,東京都葛飾区東堀切3-26-1,,,,35.753895,139.838169,
128,E1312200070111,川端小学校,東京都葛飾区東立石1-2-1,,,,35.732123,139.846114,
129,E1312200071111,本田中学校,東京都葛飾区東立石4-7-1,,,,35.732456,139.852457,
130,E1312200072111,飯塚小学校,東京都葛飾区南水元1-13-1,,,,35.776644,139.857812,
131,E1312200073111,金町中学校,東京都葛飾区南水元3-1-1,,,,35.77396,139.865227,
132,E1312200074111,花の木小学校,東京都葛飾区南水元3-2-1,,,,35.774225,139.864312,
133,E1312200076111,白鳥小学校,東京都葛飾区白鳥3-4-1,,,,35.750566,139.844277,
134,E1312200077111,宝木塚小学校,東京都葛飾区宝町2-29-23,,,,35.744774,139.838271,
135,E1312200078111,綾南小学校,東京都葛飾区堀切1-22-1,,,,35.739918,139.830659,
136,E1312200079111,堀切中学校,東京都葛飾区堀切1-36-1,,,,35.741429,139.832882,
137,E1312200080111,堀切小学校,東京都葛飾区堀切2-42-1,,,,35.744322,139.828795,
138,E1312200081111,旧東堀切小学校,東京都葛飾区堀切3-34-1,,,,35.744319,139.834518,
139,E1312200082111,旧小谷野小学校,東京都葛飾区堀切4-60-1,,,,35.749656,139.825713,
140,E1312200083111,南綾瀬小学校,東京都葛飾区堀切6-1-1,,,,35.75173,139.828041,
141,E1312200084111,東綾瀬小学校,東京都葛飾区堀切6-21-1,,,,35.75377,139.831721,
142,E1312200085111,青葉中学校,東京都葛飾区堀切8-12-1,,,,35.756847,139.833824,
143,E1312200086111,本田小学校,東京都葛飾区立石1-7-23,,,,35.737275,139.844992,
144,E1312200087111,梅田小学校,東京都葛飾区立石3-24-1,,,,35.741632,139.844269,
145,E1312200088111,清和小学校,東京都葛飾区立石6-2-1,,,,35.743102,139.848898,
146,E1312200089111,立石中学校,東京都葛飾区立石6-3-1,,,,35.743924,139.848488,
147,E1338200001121,福祉保健センター仲里,東京都御蔵島村字かんぶり,1,,要支援者,33.896223,139.59177,
148,E1338200003111,御蔵島村観光資料館,東京都御蔵島村字家の下,1,,,33.896785,139.592159,
149,E1338200004111,御蔵島村開発総合センター,東京都御蔵島村字宮の下,1,,,33.894986,139.593261,
150,E1338200005111,村立御蔵島村小中学校,東京都御蔵島村字入かねが沢,1,,,33.89703,139.595292,
151,E1312300002111,松江五中,東京都江戸川区一之江6-18-1,1,,,35.689022,139.877249,
152,E1312300003111,都立葛西工科高校,東京都江戸川区一之江7-68-1,1,,,35.683604,139.878877,
153,E1312300004111,葛西二中,東京都江戸川区宇喜田町1085,1,,,35.679071,139.861967,
154,E1312300005111,篠崎二中,東京都江戸川区下篠崎町14-1,1,,,35.699544,139.913293,
155,E1312300006111,江戸川小,東京都江戸川区江戸川1-1-16,1,,,35.686196,139.906823,
156,E1312300007111,下鎌田東小,東京都江戸川区江戸川2-16-31,1,,,35.686751,139.90131,
157,E1312300008111,瑞江中,東京都江戸川区江戸川4-16,1,,,35.679896,139.884241,
158,E1312300009111,一之江小,東京都江戸川区江戸川5-18-3,1,,,35.674534,139.879519,
159,E1312300115111,二之江小,東京都江戸川区江戸川6-44,1,,,35.67572,139.879288,
160,E1312300010111,鹿骨中,東京都江戸川区鹿骨2-12-1,1,,,35.70779,139.893493,
161,E1312300011111,鹿骨東小,東京都江戸川区鹿骨3-7-1,1,,,35.711192,139.892444,
162,E1312300012111,小岩五中,東京都江戸川区鹿骨5-27-1,1,,,35.717454,139.886012,
163,E1312300013111,鹿骨松本小,東京都江戸川区鹿骨6-3-5,1,,,35.712682,139.884282,
164,E1312300015111,篠崎小,東京都江戸川区篠崎町3-2-18,1,,,35.704813,139.909184,
165,E1312300016111,篠崎中,東京都江戸川区篠崎町5-12-19,1,,,35.703052,139.908804,
166,E1312300017111,篠崎四小,東京都江戸川区篠崎町8-12-8,1,,,35.704817,139.898894,
167,E1312300018111,春江中,東京都江戸川区春江町2-47-1,1,,,35.701108,139.891186,
168,E1312300019111,一之江二小,東京都江戸川区春江町4-16,1,,,35.682337,139.87848,
169,E1312300020111,二之江二小,東京都江戸川区春江町5-13,1,,,35.679895,139.877029,
170,E1312300021111,二之江中,東京都江戸川区春江町5-3-1,1,,,35.681983,139.877339,
171,E1312300022111,小松川二中,東京都江戸川区小松川2-10-2,1,,,35.69779519,139.8527957,
172,E1312300023111,小松川二小,東京都江戸川区小松川3-6-4,1,,,35.69744,139.849455,
173,E1312300024111,松江小,東京都江戸川区松江1-16-5,1,,,35.697805,139.870007,
174,E1312300025111,松江一中,東京都江戸川区松江5-5-1,1,,,35.688798,139.867417,
175,E1312300026111,松江六中,東京都江戸川区松江7-16-18,1,,,35.691126,139.874075,
176,E1312300027111,西一之江小,東京都江戸川区松江7-17-1,1,,,35.689962,139.873644,
177,E1312300028111,私立関東第一高校,東京都江戸川区松島2-10-11,1,,,35.70796,139.860354,
178,E1312300029111,旧二松江小,東京都江戸川区松島2-16-20,1,,,35.704666,139.861335,
179,E1312300030111,松江二中,東京都江戸川区松島2-3-1,1,,,35.706222,139.859996,
180,E1312300031111,都立江戸川高校,東京都江戸川区松島2-38-1,1,,,35.708695,139.865907,
181,E1312300032111,西小松川小,東京都江戸川区松島3-30-6,1,,,35.711614,139.862682,
182,E1312300033111,鹿本中,東京都江戸川区松本1-36-1,1,,,35.718469,139.876944,
183,E1312300034111,鹿本小,東京都江戸川区松本2-35-7,1,,,35.718576,139.878848,
184,E1312300035111,上一色中,東京都江戸川区上一色1-8-11,1,,,35.723456,139.872634,
185,E1312300036111,篠崎二小,東京都江戸川区上篠崎1-3-1,1,,,35.714439,139.900373,
186,E1312300037111,新堀小,東京都江戸川区新堀1-32-1,1,,,35.70442,139.888346,
187,E1312300038111,春江小,東京都江戸川区瑞江1-3-30,1,,,35.699169,139.893865,
188,E1312300039112,下鎌田小,東京都江戸川区瑞江4-19-10,1,,,35.690785,139.893926,
189,E1312300040111,瑞江二中,東京都江戸川区瑞江4-54-1,1,,,35.694684,139.894694,
190,E1312300041111,清新ふたば小,東京都江戸川区清新町1-1-38,1,,,35.657416,139.853108,
191,E1312300042111,清新一小,東京都江戸川区清新町1-4-19,1,,,35.66183,139.852875,
192,E1312300043111,清新一中,東京都江戸川区清新町1-5-14,1,,,35.663285,139.851585,
193,E1312300045111,清新二中,東京都江戸川区清新町2-1-2,1,,,35.656733,139.85227,
194,E1312300044111,旧清新二小,東京都江戸川区清新町2-10-1,1,,,35.655018,139.857263,
195,E1312300046111,松江四中,東京都江戸川区西一之江1-16-1,1,,,35.699077,139.877174,
196,E1312300047111,大杉東小,東京都江戸川区西一之江2-8-5,1,,,35.700848,139.879025,
197,E1312300048111,西葛西小,東京都江戸川区西葛西3-9-44,1,,,35.668114,139.85746,
198,E1312300049111,六葛西小,東京都江戸川区西葛西4-5-1,1,,,35.668019,139.865113,
199,E1312300050111,西葛西中,東京都江戸川区西葛西5-10-18,1,,,35.665863,139.86299,
200,E1312300051111,七葛西小,東京都江戸川区西葛西7-8-1,1,,,35.65995,139.859892,
201,E1312300052111,新田小,東京都江戸川区西葛西8-16-1,1,,,35.65454,139.862926,
202,E1312300053111,旧上一色小,東京都江戸川区西小岩2-4-1,1,,,35.73292,139.873407,
203,E1312300054111,西小岩小,東京都江戸川区西小岩3-19-12,1,,,35.735931,139.877235,
204,E1312300055111,小岩四中,東京都江戸川区西小岩3-9-18,1,,,35.736519,139.874953,
205,E1312300056111,瑞江小,東京都江戸川区西瑞江3-39,1,,,35.685434,139.887121,
206,E1312300057111,船堀小,東京都江戸川区船堀2-22-22,1,,,35.682732,139.862257,
207,E1312300058111,船堀二小,東京都江戸川区船堀4-14-4,1,,,35.683399,139.868176,
208,E1312300059111,大杉二小,東京都江戸川区大杉3-11-1,1,,,35.706924,139.881152,
209,E1312300060111,松江三中,東京都江戸川区中央1-20-1,1,,,35.708713,139.87039,
210,E1312300061111,大杉小,東京都江戸川区中央2-16-15,1,,,35.706071,139.873288,
211,E1312300114111,都立城東職業能力開発センター江戸川校,東京都江戸川区中央2-31-27,1,,,35.706223,139.874863,
212,E1312300062111,三松江小,東京都江戸川区中央4-13-1,1,,,35.710317,139.867314,
213,E1312300063111,葛西小・中,東京都江戸川区中葛西2-4-3,1,,,35.671981,139.873516,
214,E1312300064111,葛西三中,東京都江戸川区中葛西6-6-13,1,,,35.659692,139.865481,
215,E1312300065111,四葛西小,東京都江戸川区中葛西8-8-1,1,,,35.658916,139.871002,
216,E1312300066111,二葛西小,東京都江戸川区東葛西6-33-1,1,,,35.662379,139.878808,
217,E1312300067111,東葛西中,東京都江戸川区東葛西6-40-1,1,,,35.660985,139.879397,
218,E1312300068111,東葛西小,東京都江戸川区東葛西8-23-1,1,,,35.654132,139.87963,
219,E1312300070111,篠崎三小,東京都江戸川区東篠崎1-1-16,1,,,35.697424,139.913864,
220,E1312300069111,都立篠崎高校,東京都江戸川区東篠崎1-10-1,1,,,35.700446,139.916254,
221,E1312300071111,小岩二中,東京都江戸川区東小岩1-6-10,1,,,35.721663,139.890719,
222,E1312300072111,小岩一中,東京都江戸川区東小岩3-10-8,1,,,35.730571,139.892204,
223,E1312300073111,小岩小,東京都江戸川区東小岩3-20-10,1,,,35.732893,139.892625,
224,E1312300074111,東小岩小,東京都江戸川区東小岩4-12-1,1,,,35.729331,139.889243,
225,E1312300075111,東小松川小,東京都江戸川区東小松川3-27-1,1,,,35.692957,139.866059,
226,E1312300076111,瑞江三中,東京都江戸川区東瑞江1-38-33,1,,,35.691512,139.900067,
227,E1312300077111,旧下鎌田小,東京都江戸川区東瑞江3-11-1,1,,,35.691072,139.893799,
228,E1312300078111,都立葛西南高校,東京都江戸川区南葛西1-11-1,1,,,35.653648,139.870776,
229,E1312300079111,南葛西小,東京都江戸川区南葛西5-10-1,1,,,35.646719,139.874703,
230,E1312300080111,南葛西中,東京都江戸川区南葛西5-12-1,1,,,35.645447,139.875097,
231,E1312300081111,南葛西三小,東京都江戸川区南葛西5-2-1,1,,,35.643638,139.870729,
232,E1312300082111,南葛西二中,東京都江戸川区南葛西5-3-1,1,,,35.644556,139.87101,
233,E1312300083111,南葛西二小,東京都江戸川区南葛西7-5-9,1,,,35.650004,139.880211,
234,E1312300084111,鎌田小,東京都江戸川区南篠崎町2-45-18,1,,,35.69144,139.904049,
235,E1312300085111,南篠崎小,東京都江戸川区南篠崎町4-27-5,1,,,35.698233,139.904129,
236,E1312300086111,南小岩二小,東京都江戸川区南小岩2-16-1,1,,,35.721973,139.889292,
237,E1312300087111,南小岩小,東京都江戸川区南小岩4-16-1,1,,,35.7232,139.884854,
238,E1312300088112,下小岩小,東京都江戸川区南小岩5-5-1,1,,,35.725785,139.878612,
239,E1312300089111,旧下小岩小,東京都江戸川区南小岩7-8-1,1,,,35.72792,139.882695,
240,E1312300090111,都立小松川高校,東京都江戸川区平井1-27-10,1,,,35.702615,139.852184,
241,E1312300091112,小松川中,東京都江戸川区平井3-20-1,1,,,35.702431,139.84317,
242,E1312300093111,小松川小,東京都江戸川区平井4-1-23,1,,,35.7036,139.847569,
243,E1312300094111,平井東小,東京都江戸川区平井4-28-9,1,,,35.708527,139.848143,
244,E1312300095111,旧小松川一中,東京都江戸川区平井4-7-21,1,,,35.705466,139.846129,
245,E1312300096112,平井南小,東京都江戸川区平井5-3-11,1,,,35.704759,139.838795,
246,E1312300097111,旧平井二小,東京都江戸川区平井6-1-17,1,,,35.706539,139.836271,
247,E1312300098111,平井小,東京都江戸川区平井6-35-1,1,,,35.710617,139.842231,
248,E1312300099111,平井西小,東京都江戸川区平井7-22-24,1,,,35.714609,139.839342,
249,E1312300100111,五葛西小,東京都江戸川区北葛西2-13-33,1,,,35.674778,139.855832,
250,E1312300101111,三葛西小,東京都江戸川区北葛西4-2-19,1,,,35.671048,139.862027,
251,E1312300102111,宇喜田小,東京都江戸川区北葛西5-13-1,1,,,35.674249,139.865693,
252,E1312300103111,篠崎五小,東京都江戸川区北篠崎2-5-1,1,,,35.718348,139.893077,
253,E1312300104111,北小岩小,東京都江戸川区北小岩2-15-1,1,,,35.740463,139.885741,
254,E1312300105111,中小岩小,東京都江戸川区北小岩3-12-22,1,,,35.737625,139.892024,
255,E1312300106111,上小岩小,東京都江戸川区北小岩7-2-1,1,,,35.743436,139.889465,
256,E1312300107111,小岩三中,東京都江戸川区北小岩8-19-1,1,,,35.747038,139.886265,
257,E1312300108111,上小岩二小,東京都江戸川区北小岩8-28-11,1,,,35.747643,139.886964,
258,E1312300109111,本一色小,東京都江戸川区本一色2-10-1,1,,,35.718589,139.872286,
259,E1312300110111,都立小岩高校,東京都江戸川区本一色3-10-1,1,,,35.721275,139.869092,
260,E1312300111111,上一色南小,東京都江戸川区本一色3-28-24,1,,,35.722111,139.871059,
261,E1312300112111,都立紅葉川高校,東京都江戸川区臨海町2-1-1,1,,,35.65276,139.858795,
262,E1312300113111,臨海小,東京都江戸川区臨海町2-2-11,1,,,35.651489,139.860366,
263,E1310800001111,深川スポーツセンター,東京都江東区越中島1-2-18,,,,35.670463622862,139.79173513657,
264,E1310800002111,東京海洋大学（越中島キャンパス）,東京都江東区越中島2-1-6,,,,35.667948969598,139.79178111011,
265,E1310800003111,第三商業高等学校,東京都江東区越中島3-3-1,,,,35.662895446629,139.79562108927,
266,E1310800004111,越中島小学校,東京都江東区越中島3-6-38,,,,35.666166448889,139.79639693551,
267,E1310800005111,深川第三中学校,東京都江東区越中島3-7-1,,,,35.66651956158,139.79563390046,
268,E1310800006111,猿江保育園,東京都江東区猿江1-8-10,,,,35.685422232137,139.8135757,
269,E1310800008111,塩浜保育園,東京都江東区塩浜1-3-10,,,,35.663756685458,139.80125421759,
270,E1310800010111,深川第八中学校,東京都江東区塩浜2-21-14,,,,35.66475861043,139.81209011779,
271,E1310800013111,塩崎保育園,東京都江東区塩浜2-6-3,,,,35.660929527247,139.8086547533,
272,E1310800015111,第三亀戸中学校,東京都江東区亀戸1-12-10,,,,35.695158476268,139.82119557241,
273,E1310800016112,亀戸福祉会館,東京都江東区亀戸1-24-6,,,,35.694715381794,139.82401988458,
274,E1310800016111,亀戸第三保育園,東京都江東区亀戸1-24-6,,,,35.694731846725,139.82430065641,
275,E1310800017111,アンフェリシオン,東京都江東区亀戸1-43-22,,,,35.696773067393,139.8224045,
276,E1310800018111,亀戸児童館,東京都江東区亀戸2-1-19,,,,35.697813110884,139.8216860822,
277,E1310800019111,亀戸文化センター,東京都江東区亀戸2-19-1,,,,35.697599010876,139.82455463558,
278,E1310800020111,第一亀戸小学校,東京都江東区亀戸2-5-7,,,,35.698861149485,139.82217538227,
279,E1310800021111,介護老人保健施設キーストーン,東京都江東区亀戸3-36-1,,,,35.707274222932,139.81937093558,
280,E1310800022111,パークサイド亀島,東京都江東区亀戸3-36-13,,,,35.706591466993,139.82012532883,
281,E1310800023111,特別養護老人ホームカメリア,東京都江東区亀戸3-36-5,,,,35.706996588694,139.82007931944,
282,E1310800024112,亀戸第四保育園,東京都江東区亀戸4-21-13,,,,35.70264604639,139.8265371403,
283,E1310800025111,香取小学校,東京都江東区亀戸4-26-22,,,,35.703871027172,139.82611768022,
284,E1310800026111,江東商業高等学校,東京都江東区亀戸4-50-1,,,,35.702463725632,139.83149633363,
285,E1310800027111,第二亀戸中学校,東京都江東区亀戸4-51-1,,,,35.702618755205,139.83258811892,
286,E1310800028111,水神小学校,東京都江東区亀戸5-22-22,,,,35.700072957445,139.82851792791,
287,E1310800029111,第二亀戸小学校（第二亀戸幼稚園）,東京都江東区亀戸6-36-1,,,,35.695454607699,139.8301706617,
